,timestamp,tag,duration,package_0
0,1694519902.4246016,start_forward_pass_loop,7.963180541992188e-05,0.0
1,1694519902.4246812,forward pass,5.3882598876953125e-05,0.0
2,1694519902.424735,Total Weight,0.5690710544586182,275451.0
3,1694519902.9938061,Activation,0.03112649917602539,12451.0
4,1694519903.0249326,Decay,0.14191722869873047,54443.0
5,1694519903.1668499,STP,0.01026010513305664,4333.0
6,1694519903.17711,forward pass,6.079673767089844e-05,0.0
7,1694519903.1771708,Total Weight,0.01682877540588379,6714.0
8,1694519903.1939995,Activation,0.03002190589904785,11414.0
9,1694519903.2240214,Decay,0.1401526927947998,53466.0
10,1694519903.3641741,STP,0.010397195816040039,4273.0
11,1694519903.3745713,forward pass,6.008148193359375e-05,0.0
12,1694519903.3746314,Total Weight,0.017023801803588867,6592.0
13,1694519903.3916552,Activation,0.03025960922241211,11535.0
14,1694519903.4219148,Decay,0.14023566246032715,53955.0
15,1694519903.5621505,STP,0.010335922241210938,3907.0
16,1694519903.5724864,forward pass,5.5789947509765625e-05,366.0
17,1694519903.5725422,Total Weight,0.01689291000366211,6408.0
18,1694519903.589435,Activation,0.030292987823486328,11780.0
19,1694519903.619728,Decay,0.14102649688720703,53772.0
20,1694519903.7607546,STP,0.010492801666259766,4211.0
21,1694519903.7712474,forward pass,5.650520324707031e-05,0.0
22,1694519903.771304,Total Weight,0.01685333251953125,6592.0
23,1694519903.7881572,Activation,0.030115365982055664,11475.0
24,1694519903.8182726,Decay,0.14138531684875488,54870.0
25,1694519903.959658,STP,0.010965585708618164,4212.0
26,1694519903.9706235,forward pass,6.556510925292969e-05,0.0
27,1694519903.970689,Total Weight,0.017760038375854492,6897.0
28,1694519903.988449,Activation,0.03301715850830078,13855.0
29,1694519904.0214663,Decay,0.14378666877746582,56396.0
30,1694519904.165253,STP,0.010682344436645508,4211.0
31,1694519904.1759353,forward pass,6.699562072753906e-05,0.0
32,1694519904.1760023,Total Weight,0.017638444900512695,7386.0
33,1694519904.1936407,Activation,0.03214883804321289,12634.0
34,1694519904.2257895,Decay,0.14284086227416992,55297.0
35,1694519904.3686304,STP,0.010503053665161133,4334.0
36,1694519904.3791335,forward pass,6.198883056640625e-05,0.0
37,1694519904.3791955,Total Weight,0.016855478286743164,6653.0
38,1694519904.396051,Activation,0.030336380004882812,11596.0
39,1694519904.4263873,Decay,0.14051055908203125,54383.0
40,1694519904.5668979,STP,0.010510683059692383,4333.0
41,1694519904.5774086,forward pass,6.341934204101562e-05,0.0
42,1694519904.577472,Total Weight,0.01710653305053711,6592.0
43,1694519904.5945785,Activation,0.0301058292388916,11719.0
44,1694519904.6246843,Decay,0.1404101848602295,54077.0
45,1694519904.7650945,STP,0.010851860046386719,4333.0
46,1694519904.7759464,forward pass,5.745887756347656e-05,0.0
47,1694519904.7760038,Total Weight,0.017201900482177734,6714.0
48,1694519904.7932057,Activation,0.030048370361328125,11841.0
49,1694519904.823254,Decay,0.1424236297607422,56335.0
50,1694519904.9656777,STP,0.011414527893066406,4272.0
