,timestamp,tag,duration,nvidia_gpu_0
0,1698769317.8351207,start_forward_pass_loop,0.002521991729736328,0
1,1698769317.8376427,forward pass,0.0003571510314941406,0
2,1698769317.8379998,Total Weight,0.08043408393859863,13225
3,1698769317.918434,Activation,0.03180098533630371,5451
4,1698769317.950235,Decay,0.08337187767028809,12626
5,1698769318.0336068,STP,0.082427978515625,13178
6,1698769318.1160347,forward pass,0.002460956573486328,0
7,1698769318.1184957,Total Weight,0.08043432235717773,13260
8,1698769318.19893,Activation,0.031815528869628906,5378
9,1698769318.2307456,Decay,0.08243203163146973,12680
10,1698769318.3131776,STP,0.08238720893859863,13215
11,1698769318.3955648,forward pass,0.0024597644805908203,0
12,1698769318.3980246,Total Weight,0.0804281234741211,13286
13,1698769318.4784527,Activation,0.031810760498046875,5401
14,1698769318.5102634,Decay,0.0824286937713623,12674
15,1698769318.5926921,STP,0.08240485191345215,13228
16,1698769318.675097,forward pass,0.0024645328521728516,0
17,1698769318.6775615,Total Weight,0.0804297924041748,13274
18,1698769318.7579913,Activation,0.03182697296142578,5400
19,1698769318.7898183,Decay,0.08241486549377441,12698
20,1698769318.8722332,STP,0.08237552642822266,13281
21,1698769318.9546087,forward pass,0.0027937889099121094,0
22,1698769318.9574025,Total Weight,0.08043551445007324,13294
23,1698769319.037838,Activation,0.03180670738220215,5425
24,1698769319.0696447,Decay,0.08244848251342773,12865
25,1698769319.1520932,STP,0.08418989181518555,13242
26,1698769319.236283,forward pass,0.0024726390838623047,0
27,1698769319.2387557,Total Weight,0.08041906356811523,13273
28,1698769319.3191748,Activation,0.031769514083862305,5428
29,1698769319.3509443,Decay,0.08243870735168457,12713
30,1698769319.433383,STP,0.08238530158996582,13252
31,1698769319.5157683,forward pass,0.0024611949920654297,0
32,1698769319.5182295,Total Weight,0.08042287826538086,13302
33,1698769319.5986524,Activation,0.03180360794067383,5466
34,1698769319.630456,Decay,0.08266019821166992,12717
35,1698769319.7131162,STP,0.08237576484680176,13288
36,1698769319.795492,forward pass,0.002456188201904297,0
37,1698769319.7979481,Total Weight,0.08160638809204102,13430
38,1698769319.8795545,Activation,0.03185772895812988,5437
39,1698769319.9114122,Decay,0.08247089385986328,12826
40,1698769319.9938831,STP,0.08344006538391113,13244
41,1698769320.0773232,forward pass,0.002615213394165039,0
42,1698769320.0799384,Total Weight,0.08172774314880371,13419
43,1698769320.1616662,Activation,0.03188037872314453,5406
44,1698769320.1935465,Decay,0.08242511749267578,12710
45,1698769320.2759717,STP,0.08242154121398926,13274
46,1698769320.3583932,forward pass,0.002479076385498047,0
47,1698769320.3608723,Total Weight,0.08043169975280762,13326
48,1698769320.441304,Activation,0.03226947784423828,5391
49,1698769320.4735734,Decay,0.08244967460632324,12807
50,1698769320.5560231,STP,0.08339071273803711,13230
