,timestamp,tag,duration,nvidia_gpu_1
0,1699448775.600907,start_forward_pass_loop,0.0024416446685791016,0
1,1699448775.6033487,forward pass,0.002199888229370117,0
2,1699448775.6055486,Total Weight,0.1267392635345459,13694
3,1699448775.732288,Activation,0.5940654277801514,60320
4,1699448776.3263533,Decay,0.09910082817077637,11072
5,1699448776.4254541,STP,0.09917902946472168,17656
6,1699448776.5246332,forward pass,0.002431631088256836,0
7,1699448776.5270648,Total Weight,0.12755775451660156,18529
8,1699448776.6546226,Activation,0.597367525100708,61658
9,1699448777.25199,Decay,0.09910035133361816,9753
10,1699448777.3510904,STP,0.09913492202758789,17101
11,1699448777.4502254,forward pass,0.002419710159301758,0
12,1699448777.452645,Total Weight,0.12687110900878906,35979
13,1699448777.5795162,Activation,0.5996732711791992,55059
14,1699448778.1791894,Decay,0.0990450382232666,16238
15,1699448778.2782345,STP,0.0992591381072998,0
16,1699448778.3774936,forward pass,0.002428770065307617,19664
17,1699448778.3799224,Total Weight,0.12825226783752441,16513
18,1699448778.5081747,Activation,0.5983059406280518,56682
19,1699448779.1064806,Decay,0.09908485412597656,14569
20,1699448779.2055655,STP,0.09914517402648926,18916
21,1699448779.3047106,forward pass,0.0024242401123046875,0
22,1699448779.3071349,Total Weight,0.12679266929626465,17401
23,1699448779.4339275,Activation,0.5949692726135254,58221
24,1699448780.0288968,Decay,0.09991860389709473,13409
25,1699448780.1288154,STP,0.10125112533569336,18274
26,1699448780.2300665,forward pass,0.0038232803344726562,0
27,1699448780.2338898,Total Weight,0.12722206115722656,17810
28,1699448780.3611119,Activation,0.5964953899383545,59807
29,1699448780.9576073,Decay,0.09910440444946289,11740
30,1699448781.0567117,STP,0.10048699378967285,17882
31,1699448781.1571987,forward pass,0.004013538360595703,0
32,1699448781.1612122,Total Weight,0.12755227088928223,18394
33,1699448781.2887645,Activation,0.594912052154541,61521
34,1699448781.8836765,Decay,0.10082650184631348,10175
35,1699448781.984503,STP,0.1007680892944336,17238
36,1699448782.0852711,forward pass,0.004235744476318359,0
37,1699448782.0895069,Total Weight,0.1276230812072754,35679
38,1699448782.21713,Activation,0.597449541091919,55225
39,1699448782.8145795,Decay,0.09996891021728516,0
40,1699448782.9145484,STP,0.09918856620788574,16637
41,1699448783.013737,forward pass,0.0035026073455810547,19328
42,1699448783.0172396,Total Weight,0.12744975090026855,16567
43,1699448783.1446893,Activation,0.5944304466247559,56836
44,1699448783.7391198,Decay,0.10058283805847168,14982
45,1699448783.8397026,STP,0.10106539726257324,18810
46,1699448783.940768,forward pass,0.0038280487060546875,0
47,1699448783.944596,Total Weight,0.12673020362854004,17325
48,1699448784.0713263,Activation,0.5963573455810547,58351
49,1699448784.6676836,Decay,0.0995175838470459,13327
50,1699448784.7672012,STP,0.10077834129333496,18394
