,timestamp,tag,duration,nvidia_gpu_1
0,1699448967.5085497,start_forward_pass_loop,0.0027391910552978516,0
1,1699448967.511289,forward pass,0.003883838653564453,0
2,1699448967.5151727,Total Weight,1.0100674629211426,85841
3,1699448968.5252402,Activation,4.575716495513916,324050
4,1699448973.1009567,Decay,0.7738656997680664,70873
5,1699448973.8748224,STP,0.7466588020324707,68760
6,1699448974.6214812,forward pass,0.002266407012939453,0
7,1699448974.6237476,Total Weight,1.0153968334197998,94395
8,1699448975.6391444,Activation,4.600462198257446,325646
9,1699448980.2396066,Decay,0.7725968360900879,59204
10,1699448981.0122035,STP,0.7453224658966064,78373
11,1699448981.757526,forward pass,0.002269744873046875,0
12,1699448981.7597957,Total Weight,1.0104734897613525,94532
13,1699448982.7702692,Activation,4.593380928039551,317217
14,1699448987.36365,Decay,0.7709882259368896,68339
15,1699448988.1346383,STP,0.7473478317260742,68757
16,1699448988.8819861,forward pass,0.0023360252380371094,0
17,1699448988.8843222,Total Weight,1.014836311340332,94735
18,1699448989.8991585,Activation,4.600380182266235,325379
19,1699448994.4995387,Decay,0.7696623802185059,70890
20,1699448995.269201,STP,0.7475593090057373,68875
21,1699448996.0167603,forward pass,0.0023353099822998047,0
22,1699448996.0190957,Total Weight,1.011230707168579,94792
23,1699448997.0303264,Activation,4.589987277984619,326823
24,1699449001.6203136,Decay,0.7693014144897461,59282
25,1699449002.389615,STP,0.7454991340637207,78582
26,1699449003.1351142,forward pass,0.002328634262084961,0
27,1699449003.1374428,Total Weight,1.0112700462341309,94661
28,1699449004.1487129,Activation,4.5848188400268555,318335
29,1699449008.7335317,Decay,0.7698471546173096,68470
30,1699449009.5033789,STP,0.7469987869262695,68883
31,1699449010.2503777,forward pass,0.002360105514526367,0
32,1699449010.2527378,Total Weight,1.014148235321045,94854
33,1699449011.266886,Activation,4.588505744934082,325694
34,1699449015.8553917,Decay,0.7682335376739502,71331
35,1699449016.6236253,STP,0.7445025444030762,69081
36,1699449017.3681278,forward pass,0.0023415088653564453,0
37,1699449017.3704693,Total Weight,1.0121843814849854,94738
38,1699449018.3826537,Activation,4.623798370361328,327055
39,1699449023.006452,Decay,0.7717874050140381,59514
40,1699449023.7782395,STP,0.7426800727844238,78637
41,1699449024.5209196,forward pass,0.0023345947265625,0
42,1699449024.5232542,Total Weight,1.0151255130767822,94749
43,1699449025.5383797,Activation,4.584609270095825,318965
44,1699449030.122989,Decay,0.7710838317871094,68648
45,1699449030.8940728,STP,0.7477638721466064,68888
46,1699449031.6418366,forward pass,0.0023746490478515625,0
47,1699449031.6442113,Total Weight,1.0106170177459717,104473
48,1699449032.6548283,Activation,4.568805932998657,316986
49,1699449037.2236342,Decay,0.7698626518249512,61978
50,1699449037.993497,STP,0.7462685108184814,78647
